SiteID,WatershedArea_ha,Aspect,Slope,Elev_m,lattitude,longitude
1F001,350.68,242.0756531,7.4835758,359.7225647,38.8241234,-78.2033081
1F003,1221.88,94.8339691,15.528924,366.3497009,38.7030983,-78.2682953
1F003_1,1266.36,351.5536,1.346631,346.0492,38.70154477,-78.26336244
1F004,1212.31,93.5285721,12.8994665,374.5396118,38.7042465,-78.2695236
1F005,986.63,169.8488617,3.008141,408.3358459,38.7105179,-78.2760468
1F006,2199.65,0.8650824,4.3180666,285.6703796,38.7154884,-78.3814316
1F007,2029.66,359.2323914,6.4732409,314.1437683,38.7120972,-78.3706665
1F008,1827.15,230.6555939,4.8969421,340.9965515,38.7114334,-78.3593674
1F030,1834.36,76.7897644,2.448761,352.2822571,38.6949577,-78.2796173
1F031,1785.04,236.0872955,1.7178806,357.2073975,38.6967201,-78.2830887
1F056,372.20,87.4253387,5.4421663,353.2328186,38.8062401,-78.154335
1F057,336.35,110.9320297,10.8701162,375.5925598,38.8068504,-78.1572113
1F058,299.73,147.8230896,15.5702839,400.4914246,38.8068008,-78.1615143
1F116,1295.57,143.0095062,4.2950039,382.2940979,38.7146034,-78.3430939
1F117,947.07,147.3955536,7.689229,445.3260498,38.7269859,-78.3362808
1F118,560.50,300.8143005,2.6518972,553.7592163,38.7484398,-78.3246002
1F132,675.82,231.2943878,3.1441865,289.2397766,38.7894936,-78.3192062
1F133,228.51,273.3314514,2.399425,413.1213989,38.8259583,-78.1952744
1F137,807.16,207.5416718,4.9403048,453.468811,38.7192497,-78.280838
1F138,578.01,125.9742203,17.4583073,573.7241821,38.7279701,-78.2915497
1F145,944.53,230.3741913,2.7436676,414.0618286,38.7119637,-78.2773361
1FVA1,1022.87,199.8369904,4.8558288,429.3546448,38.7236748,-78.3368378
1FVA2,1116.78,112.507637,3.4142344,383.199646,38.7034264,-78.291275
1FVA3,931.05,102.3620911,12.3978777,429.6251526,38.7083321,-78.3003998
2F009,1404.93,166.0654755,6.004209,340.9925537,38.5404396,-78.3493881
2F010,1328.37,140.1485901,10.3473177,369.9799805,38.5454559,-78.3519363
2F011,1225.62,60.3456917,2.1073389,388.8554688,38.5481873,-78.3534088
2F015,2366.75,8.8203611,1.8790891,340.5127258,38.5154076,-78.3664246
2F016,1870.53,106.1582794,4.6340261,414.0852966,38.5113373,-78.3844986
2F017,975.35,181.2683563,7.3251953,640.1315308,38.5250816,-78.4059143
2F029,913.52,259.1166687,5.2071857,544.5045776,38.4777908,-78.4815674
2F032,1169.38,38.6485825,12.886714,312.9454956,38.5710716,-78.3001556
2F033,917.27,127.4723969,4.2130461,350.5087891,38.5711479,-78.3066788
2F034,743.35,93.0741501,27.1234055,429.2052917,38.5674171,-78.3170242
2F035,1658.43,61.6848221,1.2122921,292.2710266,38.6537628,-78.2733536
2F036,950.53,106.2259598,6.9640946,322.2845154,38.6573296,-78.2819214
2F037,908.02,125.2817535,1.5654578,339.2368469,38.6596527,-78.2852554
2F038,2542.51,66.0577774,10.9000216,291.5289307,38.5773849,-78.2996216
2F039,2142.74,71.4276657,3.0750618,371.1316528,38.587368,-78.3130264
2F040,1348.89,94.8876266,3.0632052,401.6696167,38.5916862,-78.3167496
2F047,734.86,69.4927063,4.1618705,472.5103455,38.4066162,-78.4578705
2F048,548.00,189.7527618,3.9828622,605.7346802,38.4121971,-78.4690628
2F049,417.27,212.9813538,2.4144752,400.6730347,38.591713,-78.3156128
2F050,390.58,168.1535797,8.6482964,425.4257813,38.5951996,-78.3162689
2F052,862.28,127.3948364,9.9918966,450.3929138,38.6308098,-78.2726898
2F053,790.10,64.5541611,12.2474842,540.8092041,38.6341476,-78.2843323
2F054,432.27,117.3141098,10.1979589,670.5432739,38.5264091,-78.4097366
2F055,296.83,11.2029219,5.9782271,796.4675903,38.5228729,-78.4201431
2F059,261.77,212.6704102,30.8070869,340.5142822,38.532753,-78.2983475
2F060,222.88,39.6791267,12.3327045,485.0374146,38.537468,-78.3054886
2F062,550.44,60.9395599,2.3182249,410.0940247,38.5368843,-78.3589249
2F063,130.77,278.144165,32.989071,634.017456,38.566357,-78.395374
2F064,362.83,83.735939,7.3234234,668.2164307,38.5437126,-78.3713379
2F065,439.73,125.5523682,40.6618729,526.4477539,38.5406303,-78.3654327
2F067,237.01,44.0512352,13.3841858,360.12854,38.5943451,-78.2743301
2F068,222.94,191.4502563,11.7409725,399.3591919,38.5961838,-78.2776566
2F069,478.47,69.1832199,22.6010818,540.8099976,38.3780785,-78.4949875
2F071,1336.03,90.0798416,13.2936544,320.3765869,38.615448,-78.2616043
2F072,1062.39,82.8659821,7.8754163,314.5482178,38.4448967,-78.3716583
2F072_1,1063.83,115.4127,8.82883,310.6216,38.44500635,-78.37121413
2F073,773.70,143.2784271,5.9183054,410.7358704,38.4505768,-78.3794403
2F074,731.23,84.6981201,7.6757731,460.8009033,38.4562416,-78.3804474
2F075,497.08,29.1095982,9.4526796,619.2253418,38.4585915,-78.3987122
2F076,242.35,107.7026596,11.5491114,750.6848145,38.4626274,-78.4099045
2F089,1003.03,95.6297302,11.4570246,410.822998,38.6251335,-78.2682953
2F090,274.83,332.3377991,1.9829155,668.0151367,38.6306458,-78.2942505
2F091,2017.18,77.9475632,14.0564861,481.9694214,38.4669495,-78.3828659
2F092,2343.68,92.3590622,10.7272654,340.7270508,38.4534225,-78.3683243
2F093,3624.01,244.0419159,1.923421,284.99646,38.4411621,-78.3679199
2F094,1147.50,353.0821533,3.7464442,324.7328491,38.6657639,-78.375679
2F095,921.76,329.0860596,1.0018212,383.3782349,38.6542015,-78.3579788
2F096,766.23,238.7535553,6.9936099,407.7552185,38.6512489,-78.3522797
2F110,314.64,274.2301331,7.5293016,506.8248901,38.5487785,-78.4319534
2F111,229.17,358.6109314,6.7801666,545.7562866,38.5457535,-78.4284134
2F112,211.94,256.8435364,7.872273,580.8403931,38.5434608,-78.4259567
2F113,950.76,92.8103027,11.0073509,486.9570313,38.4875526,-78.498291
2F113_1,970.62,312.4823,9.928811,474.2436,38.48609018,-78.50136031
2F114,825.57,39.1308022,1.3343867,525.6601563,38.4962921,-78.4998245
2F115,623.86,275.9503479,1.3419372,585.0978394,38.5005798,-78.4892426
2F119,513.44,287.3924255,4.3608522,522.6523438,38.5744514,-78.4038391
2F120,188.69,295.29129,20.858782,591.233887,38.569898,-78.397782
2F121,155.50,278.144165,32.989071,634.017456,38.566357,-78.395374
2F122,484.93,80.8302994,0.425932,397.2950745,38.5012512,-78.5594101
2F129,762.48,235.885849,4.7197251,582.0679932,38.47995,-78.4750137
2F130,543.02,188.7899933,9.3674984,668.553833,38.4886436,-78.4661331
2F131,231.37,22.346077,19.6603127,489.7934265,38.6329041,-78.358017
2F134,2429.23,181.1284332,5.2915754,310.4539795,38.4477386,-78.3651886
2F135,2229.67,67.2834167,5.9011321,413.3010864,38.4633598,-78.3674164
2F136,1009.97,59.5517654,9.3740702,743.0656128,38.4904518,-78.4182205
2F139,366.21,81.6813583,11.4534616,653.1728516,38.6259575,-78.2946472
2F140,272.35,317.4241943,4.171772,508.2324219,38.6159477,-78.3793945
2F242,146.88,157.365616,5.733816,864.626343,38.435414,-78.467585
2F252,1007.33,172.0717773,2.6956449,337.9348755,38.5704956,-78.3041992
2F255,347.82,110.6498032,14.2577152,659.8171387,38.4590034,-78.4431763
2FVA4,1878.13,141.7992401,3.8967991,505.7134399,38.4710007,-78.3827591
2FVA5,1256.34,123.4561996,11.6931868,675.7667847,38.4872055,-78.4064484
3F018,524.03,128.8901825,19.2151241,495.4444275,38.279705,-78.6406403
3F019,272.16,16.7799187,20.7416973,624.6134644,38.2832565,-78.6533127
3F020,210.01,310.7372742,13.6572266,679.3380127,38.2775841,-78.6549149
3F021,2810.74,190.9228821,7.5293665,375.9871826,38.306488,-78.7036133
3F022,2342.64,292.7556152,0.5259798,406.7280884,38.2888985,-78.6976624
3F023,1320.24,24.4059124,7.1320758,442.4883423,38.2721596,-78.6990204
3F024,1607.02,228.3786926,2.239764,395.8753967,38.2584953,-78.778595
3F025,1418.82,258.741394,2.9444759,429.1766357,38.2547874,-78.7585831
3F026,674.47,333.9293823,5.5469923,445.0044556,38.2520752,-78.7483368
3F041,1238.28,113.6418762,3.8006651,408.4945068,38.342186,-78.5112915
3F042,779.11,117.6297836,1.8151765,437.4723511,38.3462105,-78.5190964
3F043,373.06,87.2744675,5.4976072,532.482605,38.3488579,-78.533493
3F044,1235.84,119.2927856,0.9792871,498.089386,38.1828918,-78.738121
3F045,2077.00,136.8812256,7.5105433,417.7033997,38.1642075,-78.7441788
3F046,2603.13,194.256958,17.9672909,312.7068481,38.1419296,-78.7494583
3F078,363.29,55.0904503,15.4000349,435.3451233,38.165741,-78.7454376
3F079,355.63,142.6673431,46.9718819,471.7183228,38.1664696,-78.747139
3F080,215.02,85.0647736,23.7668781,554.1561279,38.1705627,-78.7541656
3F084,2517.84,190.7653961,11.4929962,338.0189209,38.1478958,-78.7485428
3F085,1530.94,123.1427383,7.6440601,476.5456238,38.1752014,-78.7398224
3F086,1132.42,131.0789948,4.8488498,374.1841431,38.2227821,-78.6866302
3F087,1001.91,173.6491852,4.9409719,433.7307739,38.2295952,-78.6930084
3F097,2608.01,76.5493317,12.2601042,394.898407,38.2971611,-78.6999512
3F098,571.78,354.3441772,1.8985455,471.4138184,38.2656822,-78.6990585
3F100,832.73,94.5839157,0.0899429,414.1166382,38.2866135,-78.6951981
3F101,371.58,30.7042866,4.9811759,494.6844788,38.2612953,-78.7022324
3F102,515.49,271.1908264,1.8463942,393.0654907,38.3294907,-78.6680679
3F103,558.17,249.4745178,5.6887789,369.9720459,38.3342476,-78.6715698
3F104,286.44,4.79773,3.8336656,414.0153198,38.3007584,-78.7327728
3F105,258.71,9.817687,8.0601568,446.6266479,38.2966995,-78.7273483
3F106,223.37,49.3256645,27.4367599,462.6000671,38.2935638,-78.7257156
3F107,893.06,304.972229,3.4601483,449.9328613,38.1589012,-78.8117828
3F108,855.11,162.9434814,8.1771526,476.1471863,38.1602974,-78.8032074
3F109,655.49,334.5594788,6.5307794,511.5367432,38.1652641,-78.7959137
3F123,1268.58,66.4383469,2.7804508,424.4685974,38.1986694,-78.7933807
3F124,932.35,270.7102661,2.2733464,444.9109497,38.1947365,-78.7840652
3F125,793.51,328.6678772,17.1705303,457.6600342,38.1955376,-78.7781219
3F126,735.87,320.7361145,4.8476629,377.6686096,38.3245354,-78.6862869
3F127,440.65,355.5157776,3.7447588,410.2527771,38.3186798,-78.6811752
3F128,327.92,269.5869141,17.479887,450.4416809,38.3144569,-78.6719055
3F143,618.10,343.111969,1.6279238,464.9143066,38.096981,-78.8076706
3F144,595.11,117.2954178,6.9608803,471.0566101,38.0988846,-78.804718
3F263,536.72,236.6613922,0.4301172,460.4541931,38.3172913,-78.6314011
Fridley Gap,564.66,308.9961853,6.2293549,508.5879822,38.4960403,-78.7083206
Gum Run-Lower,2914.28,66.7312698,6.1525369,525.9951782,38.5094795,-79.0661011
Gum Run-Upper,531.06,80.5107803,23.446497,609.1060181,38.5204048,-79.0870132
Little Odey Run,277.47,338.0883789,5.8974619,"1,245.38",38.4771233,-79.9169235
Little Stony Creek-A,1919.91,186.1689606,5.1219807,399.8478088,38.9258652,-78.6534729
Little Stony Creek-B,1510.61,253.9841766,18.5624428,443.8399963,38.9341507,-78.645668
Little Stony Creek-C,1018.70,204.2804565,3.932997,486.7407227,38.941021,-78.6422424
Little Stony Creek-D,876.56,175.4450378,6.7502141,536.0550537,38.9483185,-78.6356888
Ramseys Draft-Lower,2395.66,179.4365234,4.6473451,708.2382813,38.3162498,-79.3532104
Ramseys Draft-Upper,1906.09,201.1494293,3.5961995,771.5675049,38.3342323,-79.3377075
