STAID,CLASS,AGGECOREGION,HYDRO_DISTURB_INDX,WR_REPORT_REMARKS,ADR_CITATION,SCREENING_COMMENTS
1451800,Ref,EastHghlnds,14,,2002 ADR,"mod ag, NEoA"
1539000,Ref,EastHghlnds,13,,2002 ADR,"mod ag & small towns in valley, forested hw, NEOA"
1547700,Ref,EastHghlnds,8,,2002 ADR,"mod ag in valley, forested hw, NEoA"
1557500,Ref,EastHghlnds,7,"Prior to Nov. 30, 1952, daily discharges were affected by Pulp and Paper Company diversion.",2002 ADR,"proximal urban, forested HW, NEoA"
1558098,Ref,EastHghlnds,9,,http://wdr.water.usgs.gov/wy2009/pdfs/01558098.2009.pdf,"forested uplands & riparian, mod ag, lt develop, NEoA"
1564500,Ref,EastHghlnds,10,,2002 ADR,"mod ag, forested uplands, NEoA"
1566000,Ref,EastHghlnds,9,,http://wdr.water.usgs.gov/wy2008/pdfs/01566000.2008.pdf,"ag & forest, lt develop, NEoA"
1567500,Ref,EastHghlnds,9,,2002 ADR,"mod ag in valley, forested uplands, NEoA"
1568000,Ref,EastHghlnds,9,,2002 ADR,"mod-hvy ag in valley, wooded uplands, NEoA"
1571184,Ref,EastHghlnds,9,,http://wdr.water.usgs.gov/wy2008/pdfs/01571184.2008.pdf,"forest & lt develop, NEoA"
1572950,Ref,EastHghlnds,11,,http://wdr.water.usgs.gov/wy2008/pdfs/01572950.2008.pdf,"forest & ag, lt development, NEoA"
1594936,Ref,EastHghlnds,7,,2002 ADR,"some strip mine in basin, NEoA"
1594950,Ref,EastHghlnds,6,,http://wdr.water.usgs.gov/wy2009/pdfs/01594950.2009.pdf,"forested upands, mod ag & lt devlopment in basin, NEoA"
1596500,Ref,EastHghlnds,9,,2002 ADR,"ag & lt development, NEoA"
1597000,Ref,EastHghlnds,9,Small diversions above station by Baltimore and Ohio Railroad.,1981 ADR,"mostly forested basin, NEoA"
1601000,Ref,EastHghlnds,9,,http://wdr.water.usgs.gov/wy2007/pdfs/01601000.2007.pdf,"mod ag, lt development, forested uplands, NEoA"
1603500,Ref,EastHghlnds,6,,1982 ADR,"some small ponds, NEoA"
1605500,Ref,EastHghlnds,7,,2002 ADR,"ag in valley, small towns upstrm, forested hw, NEoA"
1606000,Ref,EastHghlnds,9,,http://wdr.water.usgs.gov/wy2007/pdfs/01606000.2007.pdf,"mod ag, lt development, forested uplands, NEoA"
1606500,Ref,EastHghlnds,10,,2005 ADR,"mod ag, small ponds, forested hw, NEoA"
1609000,Ref,EastHghlnds,13,,http://wdr.water.usgs.gov/wy2008/pdfs/01609000.2008.pdf,"forest & ag, lt development, NEoA"
1610155,Ref,EastHghlnds,11,,http://wdr.water.usgs.gov/wy2008/pdfs/01610155.2008.pdf,"forest & ag, lt development, NEoA"
1611500,Ref,EastHghlnds,13,,2002 ADR,"mod ag & lt development in valleys, forested uplands, NEoA"
1613050,Ref,EastHghlnds,7,,http://pubs.usgs.gov/wdr/2004/wdr-pa-04-2/WDR-PA-04-2.pdf,"mixed pasture, NEoA"
1613095,Ref,EastHghlnds,9,,http://wdr.water.usgs.gov/wy2008/pdfs/01613095.2008.pdf,"forest & ag, lt development, NEoA"
1613525,Ref,EastHghlnds,11,,http://wdr.water.usgs.gov/wy2009/pdfs/01613525.2009.pdf,"forested uplands, mod ag valleys, lt development, NEoA"
1613900,Ref,EastHghlnds,13,Some diurnal fluctuation at low flow from unkown cause.,http://wdr.water.usgs.gov/wy2007/pdfs/01613900.2007.pdf,"some small impoundmnts, mostly undeveloped, NEoA"
1614000,Ref,EastHghlnds,17,,http://wdr.water.usgs.gov/wy2009/pdfs/01614000.2009.pdf,"mod ag & develop in valleys, small reserv on some tribs, forested hw"
1614090,Ref,EastHghlnds,7,,1981 ADR,mostly forested
1620500,Ref,EastHghlnds,5,,2002 ADR,"mostly forested basin, some road disturbance"
1630700,Ref,EastHghlnds,8,,http://wdr.water.usgs.gov/wy2008/pdfs/01630700.2008.pdf,"forest & ag, lt development, NEoA"
1632000,Ref,EastHghlnds,13,,2002 ADR,"prox mod ag & lt develop, forested hw, NEoA"
1632900,Ref,EastHghlnds,10,"Maximum discharge, 12,400  ft3/s, from rating curve extended above 2,300  ft3/s on basis of contracted-opening measurement at gage height 16.38 ft.",2001 ADR,"mod ag, some small ponds, NEoA"
1634500,Ref,EastHghlnds,8,,2002 ADR,"mostly forested, NEoA"
1635090,Ref,EastHghlnds,10,,http://wdr.water.usgs.gov/wy2008/pdfs/01635090.2008.pdf,"forest & ag, lt development, NEoA"
1636210,Ref,EastHghlnds,13,Some diversion above station for Front Royal municipal water supply.  Moderate diurnal fluctuation caused by municipal reservoir operation.,1977 ADR,"mostly undeveloped, NEoA"
163626650,Ref,EastHghlnds,12,,http://wdr.water.usgs.gov/wy2008/pdfs/0163626650.2008.pdf,"forest & lt develop, NEoA"
1636690,Ref,EastHghlnds,10,,http://wdr.water.usgs.gov/wy2008/pdfs/01636690.2008.pdf,"ag & forest, lt develop, NEoA"
1640500,Ref,EastHghlnds,10,Small diversions above station prior to 1959 water year by Victor Cullen State Hospital.,1984 ADR,"prox mod ag, mostly forested hw"
1641500,Ref,EastHghlnds,8,,1984 ADR,"mostly forested, NEoA"
1662500,Ref,EastHghlnds,7,,1977 ADR,"prox mod ag, roadless hw"
1665500,Ref,EastHghlnds,9,Diversion 0.4 mi upstream from station since 1973.,http://wdr.water.usgs.gov/wy2007/pdfs/01665500.2007.pdf,"prox mod ag, mostly forested hw"
2011400,Ref,EastHghlnds,7,,2002 ADR,"mod ag in valley, forested hw, NEoA"
2011460,Ref,EastHghlnds,6,,2002 ADR,"mostly forested, NEoA"
2013000,Ref,EastHghlnds,8,,2002 ADR,"mod ag in valley, forested hw, NEoA"
2014000,Ref,EastHghlnds,7,,2002 ADR,"mod ag in valley, forested hw, NEoA"
2015700,Ref,EastHghlnds,6,,2002 ADR,"ag in valley, forested HW, NEoA"
2016000,Ref,EastHghlnds,7,Low flow affected by springs and by occasional regulation from unknown source.,2002 ADR,"prox lt develop, ag in valley, forested uplands, NEoA"
2017500,Ref,EastHghlnds,18,,2002 ADR,"lt ag in valley, forested uplands, NEoA"
2018000,Ref,EastHghlnds,14,,2002 ADR,"ag in valley, small towns upstrm, forested hw, NEoA"
2024915,Ref,EastHghlnds,8,,http://wdr.water.usgs.gov/wy2008/pdfs/02024915.2008.pdf,"forest & lt develop, NEoA"
2027000,Ref,EastHghlnds,7,,2002 ADR,"mod ag in valley, forested uplands, NEoA"
2027500,Ref,EastHghlnds,7,"Periodic dewatering of upstream quarries adds small amount of inflow.  Maximum discharge, 38,000  ft3/s, from rating curve extended 6,000  ft3/s on basis of slope-area measurement of peak flow.",2001 ADR,"prox ag, forested hw, NEoA"
2028500,Ref,EastHghlnds,10,,2002 ADR,"mod ag, some small ponds, NEoA"
2053800,Ref,EastHghlnds,11,,2002 ADR,"mod ag in valley, forested hw, NEoA"
2055100,Ref,EastHghlnds,14,,http://web10capp.er.usgs.gov/imf/sites/adr06/pdfs/02055100.2006.pdf,"lt develop, small res on small trib, NEoA"
2061000,Ref,EastHghlnds,15,,http://wdr.water.usgs.gov/wy2008/pdfs/02061000.2008.pdf,"forest & ag, lt development, NEoA"
2111180,Ref,EastHghlnds,9,,http://web10capp.er.usgs.gov/imf/sites/adr06/pdfs/02111180.2006.pdf,"forested upands, mod ag & lt devlopment in basin, NEoA"
2111500,Ref,EastHghlnds,15,Slight diurnal fluctuation at low flow during growing season,http://web10capp.er.usgs.gov/imf/sites/adr06/pdfs/02111500.2006.pdf,"mod ag in valleys, forested hw"
2112120,Ref,EastHghlnds,10,,http://web10capp.er.usgs.gov/imf/sites/adr06/pdfs/02112120.2006.pdf,"mod ag, lt development, forested uplands, NEoA"
2137727,Ref,EastHghlnds,13,,http://web10capp.er.usgs.gov/imf/sites/adr06/pdfs/02137727.2006.pdf,"prox lt development, forested hw, NEoA"
2140991,Ref,EastHghlnds,6,,http://web10capp.er.usgs.gov/imf/sites/adr06/pdfs/02140991.2006.pdf,"forested uplands, lt ag lowlands"
2142000,Ref,EastHghlnds,9,,http://web10capp.er.usgs.gov/imf/sites/adr06/pdfs/02142000.2006.pdf,"mod ag, forested uplands, NEoA"
2143000,Ref,EastHghlnds,13,,http://web10capp.er.usgs.gov/imf/sites/adr06/pdfs/02143000.2006.pdf,"prox suburban, mod ag in valleys, forested uplands, NEoA"
2143040,Ref,EastHghlnds,7,,http://web10capp.er.usgs.gov/imf/sites/adr06/pdfs/02143040.2006.pdf,forested uplands & mod ag valleys
2149000,Ref,EastHghlnds,10,,http://web10capp.er.usgs.gov/imf/sites/adr06/pdfs/02149000.2006.pdf,"mostly forested, NEoA"
2152100,Ref,EastHghlnds,13,,http://web10capp.er.usgs.gov/imf/sites/adr06/pdfs/02152100.2006.pdf,"mixed forest & mod ag, NEoA"
2152285,Ref,EastHghlnds,15,,http://wdr.water.usgs.gov/wy2008/pdfs/02152285.2008.pdf,"forest & ag, lt development, NEoA"
2177000,Ref,EastHghlnds,14,,http://web10capp.er.usgs.gov/imf/sites/adr/pdfs/02177000.2005.pdf,"mostly forested, some wilderness HW, NEoA"
2178400,Ref,EastHghlnds,5,Low streamflows affected by releases from private reservoirs upstream,http://web10capp.er.usgs.gov/imf/sites/adr/pdfs/02178400.2005.pdf,"HBN, some roadless-wilderness in HW. Lt develop in valleys"
2381600,Ref,EastHghlnds,9,,2005 ADR,"forested upands, mod ag & lt devlopment in basin, NEoA"
2384540,Ref,EastHghlnds,5,,2005 ADR,"mostly roadless, small lake in HW of one trib"
2388000,Ref,EastHghlnds,7,,1981 ADR,"forested uplands, lt ag in valleys"
2390000,Ref,EastHghlnds,17,,http://wdr.water.usgs.gov/wy2008/pdfs/02390000.2008.pdf,"forest & ag, lt develop, NEoA"
2391840,Ref,EastHghlnds,9,,http://wdr.water.usgs.gov/wy2008/pdfs/02391840.2008.pdf,prox reservoir
2395120,Ref,EastHghlnds,15,,2005 ADR,"small ponds on tirbs, mod ag, NEoA"
2450250,Ref,EastHghlnds,7,,2002 ADR,"HBN, mostly roadless"
2450825,Ref,EastHghlnds,9,,http://wdr.water.usgs.gov/wy2008/pdfs/02450825.2008.pdf,"forest & ag, lt develop, NEoA"
2464000,Ref,EastHghlnds,8,,2002 ADR,"scattered farms, much forest, NEoA"
2464146,Ref,EastHghlnds,6,,http://web10capp.er.usgs.gov/imf/sites/adr06/pdfs/02464146.2006.pdf,mostly forested
3049000,Ref,EastHghlnds,13,,2002 ADR,"mod-hvy ag uplands, forested valleys, 1 small town, NEoA"
3049800,Ref,EastHghlnds,16,,http://web10capp.er.usgs.gov/imf/sites/adr06/pdfs/03049800.2006.pdf,"lt urban in valley, NEoA"
3050000,Ref,EastHghlnds,12,,http://wdr.water.usgs.gov/wy2007/pdfs/03050000.2007.pdf,"mostly forested, lt prox development & small POTWs, NEoA"
3065000,Ref,EastHghlnds,7,,http://wdr.water.usgs.gov/wy2007/pdfs/03065000.2007.pdf,"mostly forested basin, some mines, NEoA"
3065400,Ref,EastHghlnds,10,,http://wdr.water.usgs.gov/wy2008/pdfs/03065400.2008.pdf,"forest, lt ag & develop, NEoA"
3066000,Ref,EastHghlnds,10,,2002 ADR,"ag in valley, forested HW, NEoA"
3068800,Ref,EastHghlnds,5,,http://wdr.water.usgs.gov/wy2008/pdfs/03068800.2008.pdf,"forest & lt develop, old mines, NEoA"
3069000,Ref,EastHghlnds,6,,1993 ADR,"some strip mines & develop in valley, NEoA"
3069500,Ref,EastHghlnds,7,,2002 ADR,"prox develpm, some mines & ag, NEoA"
3069870,Ref,EastHghlnds,8,,http://wdr.water.usgs.gov/wy2008/pdfs/03069870.2008.pdf,"forest, lt ag & develop, NEoA"
3070000,Ref,EastHghlnds,8,,1996 ADR,"upstrm small towns, some mines, NEoA"
3070500,Ref,EastHghlnds,18,,2002 ADR,"mod ag, lt development, forested uplands, NEoA"
3075905,Ref,EastHghlnds,7,,http://wdr.water.usgs.gov/wy2008/pdfs/03075905.2008.pdf,"forest & ag, lt develop, NEoA"
3076600,Ref,EastHghlnds,8,,2002 ADR,"ag uplands, forested valleys, remnant mines, NEoA"
3078000,Ref,EastHghlnds,9,,2002 ADR,"mod ag, lt development, forested uplands, NEoA"
3083000,Ref,EastHghlnds,7,,1979 ADR,"mostly forested, lt development, NEoA"
3111150,Ref,EastHghlnds,15,,1985 ADR,"mixed ag & forest, NEoA"
3114500,Ref,EastHghlnds,9,,1995 ADR,"mod ag in valley, forested uplands, NEoA"
3115400,Ref,EastHghlnds,12,,2002 ADR,"mod ag & wooded uplands, Nat Forest, small town, NEoA"
3121850,Ref,EastHghlnds,10,,http://wdr.water.usgs.gov/wy2008/pdfs/03121850.2008.pdf,"forest & ag, lt develop, NEoA"
3140000,Ref,EastHghlnds,13,,2002 ADR,"mixed mod ag & forest, NEoA"
3144000,Ref,EastHghlnds,13,,2002 ADR,"mixed mod ag & forest, NEoA"
3149500,Ref,EastHghlnds,11,,http://wdr.water.usgs.gov/wy2008/pdfs/03149500.2008.pdf,"forest & ag, lt develop, NEoA"
3151500,Ref,EastHghlnds,6,,1973 ADR,"currently inundated. Mostly foreste basin, NEoA, PoR OK?"
3153000,Ref,EastHghlnds,5,,1976 ADR,"mostly forested, some mines, NEoA"
3154000,Ref,EastHghlnds,6,,1993 ADR,"mostly forested, some mines, NEoA"
3154500,Ref,EastHghlnds,7,,1978 ADR,"ag in valley, forested HW, NEoA"
3155500,Ref,EastHghlnds,11,,1994 ADR,"ag in valley, forested HW, NEoA"
3158200,Ref,EastHghlnds,9,,http://wdr.water.usgs.gov/wy2008/pdfs/03158200.2008.pdf,"forest & lt develop, old mines, NEoA"
3159540,Ref,EastHghlnds,12,,2002 ADR,"mod, ag, forested uplands, some mining, lt develop, NEoA"
3161000,Ref,EastHghlnds,19,,http://web10capp.er.usgs.gov/imf/sites/adr06/pdfs/03161000.2006.pdf,"small towns, some small impoundments, forested uplands, NEoA"
3164000,Ref,EastHghlnds,14,,2001 ADR,"mod ag, NEoA"
3165000,Ref,EastHghlnds,10,,http://web10capp.er.usgs.gov/imf/sites/adr06/pdfs/03165000.2006.pdf,"mod ag, NEoA"
3167500,Ref,EastHghlnds,10,,1995 ADR,"mod ag, lt development, forested uplands, NEoA"
3170000,Ref,EastHghlnds,10,,http://web10capp.er.usgs.gov/imf/sites/adr06/pdfs/03170000.2006.pdf,"mostly mod ag, some forest, NEoA"
3173000,Ref,EastHghlnds,13,,2002 ADR,"mod ag in valley, forested uplands, lt develop, NEoA"
3178500,Ref,EastHghlnds,8,,Water-Data Report -- West Virginia 1971,"forest, lt ag & develop, NEoA"
3180500,Ref,EastHghlnds,7,,2002 ADR,"prox small town, some mines & ag, NEoA"
3182500,Ref,EastHghlnds,7,,2002 ADR,"ag in valley, forested HW, NEoA"
3183000,Ref,EastHghlnds,10,,1998 ADR,"forested uplands, lt ag in valleys"
3186500,Ref,EastHghlnds,4,,2002 ADR,"mostly forested, NEoA"
3187000,Ref,EastHghlnds,11,,1975 ADR,"mostly forested, lt development, NEoA"
3187500,Ref,EastHghlnds,4,,2002 ADR,"mostly roadless, wilderness"
3190000,Ref,EastHghlnds,11,,1971 ADR,"upstrm city & possible discharge, mostly undeveloped basin, NEoA"
3198350,Ref,EastHghlnds,14,,http://wdr.water.usgs.gov/wy2008/pdfs/03198350.2008.pdf,"forest, lt develop, old mines in hw, NEoA"
3201000,Ref,EastHghlnds,20,"The flow from 18.8 mi2 upstream from station is partially controlled, but not diverted, by 2 floodwater detention reservoirs.",1997 ADR,"mixed forest, ag, lt development, NEoA"
3201800,Ref,EastHghlnds,5,,1978 ADR,"forested, mostly undeveloped, NEoA"
3201902,Ref,EastHghlnds,8,,http://wdr.water.usgs.gov/wy2008/pdfs/03201902.2008.pdf,"forest uplands, ag valley, upstrm reservoir"
3207965,Ref,EastHghlnds,7,,http://wdr.water.usgs.gov/wy2007/pdfs/03207965.2007.pdf,"forested, prox lt development & mining, NEoA"
3210000,Ref,EastHghlnds,17,,2003 ADR,"some mining & valley developemnt, NEoA"
3213000,Ref,EastHghlnds,17,,1985 ADR,"mostly undeveloped, small towns, mining in some hw"
3213700,Ref,EastHghlnds,15,,2002 ADR,"some mines & lt develop in valley, mostly forested hw, NEoA"
3235500,Ref,EastHghlnds,8,,1978 ADR,"mostly forest, some development, NEoA"
3237255,Ref,EastHghlnds,5,,http://wdr.water.usgs.gov/wy2008/pdfs/03237255.2008.pdf,"forest uplands, ag valleys, lt develop, NEoA"
3237280,Ref,EastHghlnds,8,,http://web10capp.er.usgs.gov/imf/sites/adr06/pdfs/03237280.2006.pdf,"HBN, mostly roadless, proximal ag"
3248500,Ref,EastHghlnds,6,,1997 ADR,"prox develop, some mines, NEoA"
3250100,Ref,EastHghlnds,9,,1994 ADR,"mod ag in valley, forested hw, NEoA"
3250310,Ref,EastHghlnds,7,,http://wdr.water.usgs.gov/wy2008/pdfs/03250310.2008.pdf,"forest & ag, lt develop, NEoA"
3250322,Ref,EastHghlnds,8,,http://wdr.water.usgs.gov/wy2008/pdfs/03250322.2008.pdf,"forest & ag, lt develop, NEoA"
3280700,Ref,EastHghlnds,13,,http://pubs.usgs.gov/wdr/2005/wdr-ky-05/p150_245.pdf,"some stripmines, but mostly forested"
3281040,Ref,EastHghlnds,10,,http://pubs.usgs.gov/wdr/WDR-KY-94-1/pdf/wdr_ky-94-1_c.pdf,some stripmines in HW
3281100,Ref,EastHghlnds,5,Slight diversions by City of Manchester,2003 ADR,"prox urban, lt upstrm develop, some strip mines, NEoA"
3281500,Ref,EastHghlnds,11,Diversions by City of Booneville,2003 ADR,"prox urban, lt upstrm develop, some strip mines, NEoA"
3282040,Ref,EastHghlnds,8,,http://wdr.water.usgs.gov/wy2008/pdfs/03282040.2008.pdf,"forest, lt ag & develop, NEoA"
3282500,Ref,EastHghlnds,7,,2003 ADR,"lt develop in valley, NEoA"
3403910,Ref,EastHghlnds,6,,2002 ADR,"proximal ag & some urban, upstrm mining, forested uplands, NEoA"
